Journal,Eigenfactor Score
Nature,0.220000
Physical Review Letters,0.052000
Physical Review B,0.098000
Physical Review X,0.018000
Physical Review Applied,0.012000
Physical Review Materials,0.009500
Physical Review Research,0.013000
Nature Physics,0.019000
Nature Communications,0.110000
npj Quantum Materials,0.005200
npj Spintronics,0.002100
Applied Physics Letters,0.033000
Journal of Applied Physics,0.024000
Journal of Magnetism and Magnetic Materials,0.009800
ACS Nano,0.065000
Nano Letters,0.052000
Advanced Materials,0.058000
Science Advances,0.042000
APL Materials,0.005800
Journal of Physics: Condensed Matter,0.010500
2D Materials,0.006400
Review of Scientific Instruments,0.007200
AIP Advances,0.005100
IEEE Transactions on Magnetics,0.007800
Materials Today Physics,0.003200
Journal of Physics D: Applied Physics,0.006100
Spin,0.000850
IEEE Magnetics Letters,0.001200
Journal of the Physical Society of Japan,0.003500
