Title;SJR;SJR Best Quartile;Year
Nature;15,300;Q1;2023
Nature Physics;5,800;Q1;2023
Physical Review Letters;3,521;Q1;2023
Physical Review X;4,200;Q1;2023
npj Spintronics;2,100;Q1;2023
npj Quantum Materials;2,400;Q1;2023
Physical Review B;1,250;Q1;2023
Physical Review Applied;1,100;Q1;2023
Physical Review Materials;0,980;Q1;2023
Applied Physics Letters;0,850;Q1;2023
Journal of Applied Physics;0,720;Q2;2023
Journal of Magnetism and Magnetic Materials;0,650;Q2;2023
Journal of Physics D: Applied Physics;0,580;Q2;2023
AIP Advances;0,410;Q2;2023
ACS Nano;4,500;Q1;2023
Nano Letters;3,800;Q1;2023
Advanced Materials;5,100;Q1;2023
Nature Communications;3,900;Q1;2023
Science Advances;2,700;Q1;2023
Review of Scientific Instruments;0,550;Q2;2023
APL Materials;0,960;Q1;2023
Journal of Physics: Condensed Matter;0,490;Q2;2023
Physical Review Research;1,050;Q1;2023
2D Materials;1,300;Q1;2023
Spin;0,380;Q3;2023
IEEE Transactions on Magnetics;0,480;Q2;2023
IEEE Magnetics Letters;0,420;Q2;2023
Journal of the Physical Society of Japan;0,390;Q2;2023
Materials Today Physics;1,150;Q1;2023
